"Subject","Language","Type","Item","Trial","Score","RT"
8,"L1","visuell","audio/n15.wav",4,1,0.857153239
8,"L1","kontroll","audio/n6.wav",5,1,0.624711582
8,"L1","visuell","audio/n11.wav",6,1,0.908259942
8,"L1","visuospatial","audio/n1.wav",7,1,2.128208685
8,"L1","visuospatial","audio/n3.wav",8,1,1.02763976
8,"L1","visuospatial","audio/n22.wav",9,1,0.825834
8,"L1","kontroll","audio/n8.wav",10,1,0.791858997
8,"L1","visuell","audio/n9.wav",11,1,1.810346278
8,"L1","visuell","audio/n16.wav",12,1,1.125987022
8,"L1","visuospatial","audio/n24.wav",13,1,0.759321348
8,"L1","visuell","audio/n13.wav",14,1,0.624934048
8,"L1","visuell","audio/n12.wav",15,1,0.540784091
8,"L1","visuospatial","audio/n23.wav",16,1,1.343138483
8,"L1","kontroll","audio/n18.wav",17,1,0.775047125
8,"L1","visuospatial","audio/n21.wav",18,1,1.410611848
8,"L1","kontroll","audio/n20.wav",19,1,0.894267955
8,"L1","kontroll","audio/n7.wav",20,1,1.175421296
8,"L1","kontroll","audio/n17.wav",21,1,1.444847921
8,"L1","visuell","audio/n10.wav",22,1,1.544852936
8,"L1","visuospatial","audio/n2.wav",23,1,1.125623066
8,"L1","visuell","audio/n14.wav",24,1,0.709022855
8,"L2","kontroll","audio/r14.wav",1,1,1.123999941
8,"L2","visuell","audio/r5.wav",2,1,0.642100913
8,"L2","visuospatial","audio/r23.wav",3,1,0.858457457
8,"L2","visuospatial","audio/r18.wav",4,1,0.890140421
8,"L2","kontroll","audio/r9.wav",5,1,0.859205866
8,"L2","visuell","audio/r4.wav",6,1,0.809512176
8,"L2","visuospatial","audio/r19.wav",7,1,2.129151253
8,"L2","visuell","audio/r1.wav",8,1,1.060275398
8,"L2","kontroll","audio/r13.wav",9,1,0.942531015
8,"L2","visuell","audio/r7.wav",10,1,1.377730308
8,"L2","visuospatial","audio/r20.wav",11,1,0.791742761
8,"L2","visuospatial","audio/r17.wav",12,1,1.627106348
8,"L2","visuospatial","audio/r24.wav",13,1,1.595372551
8,"L2","visuospatial","audio/r21.wav",14,1,0.575129402
8,"L2","kontroll","audio/r12.wav",15,1,0.47586194
8,"L2","kontroll","audio/r11.wav",16,1,0.35859786
8,"L2","visuell","audio/r8.wav",17,0,1.67658299
8,"L2","visuell","audio/r2.wav",18,1,0.791771367
8,"L2","kontroll","audio/r10.wav",19,1,0.442414397
8,"L2","kontroll","audio/r15.wav",20,1,0.541916703
8,"L2","kontroll","audio/r16.wav",21,1,1.126298559
8,"L2","visuell","audio/r3.wav",22,1,0.224176738
8,"L2","visuospatial","audio/r22.wav",23,1,0.541159268
8,"L2","visuell","audio/r6.wav",24,1,3.647701769
9,"L1","visuell","audio/n16.wav",1,1,0.941584728
9,"L1","visuell","audio/n11.wav",2,1,2.244541967
9,"L1","visuospatial","audio/n2.wav",3,1,2.094468426
9,"L1","visuell","audio/n12.wav",4,1,4.21547167
9,"L1","visuell","audio/n15.wav",5,1,0.305587164
9,"L1","kontroll","audio/n5.wav",6,1,0.440792509
9,"L1","visuospatial","audio/n4.wav",7,1,3.49722016
9,"L1","kontroll","audio/n17.wav",8,1,1.476088715
9,"L1","visuell","audio/n14.wav",9,1,0.841494883
9,"L1","visuell","audio/n10.wav",10,1,3.297174949
9,"L1","kontroll","audio/n8.wav",11,1,0.624385347
9,"L1","kontroll","audio/n20.wav",12,1,1.392712335
9,"L1","visuospatial","audio/n21.wav",13,1,0.976957976
9,"L1","visuospatial","audio/n24.wav",14,1,0.724896944
9,"L1","visuell","audio/n13.wav",15,1,4.198932853
9,"L1","kontroll","audio/n19.wav",16,1,0.490763151
9,"L1","visuospatial","audio/n23.wav",17,1,1.15881923
9,"L1","kontroll","audio/n7.wav",18,1,4.933659887
9,"L1","visuell","audio/n9.wav",19,1,0.807978728
9,"L1","kontroll","audio/n6.wav",20,1,0.908485724
9,"L1","visuospatial","audio/n3.wav",21,1,0.89158738
9,"L1","visuospatial","audio/n1.wav",22,1,0.590829143
9,"L1","visuospatial","audio/n22.wav",23,1,0.273921788
9,"L1","kontroll","audio/n18.wav",24,1,0.591007055
9,"L2","visuospatial","audio/r23.wav",1,1,2.41171277
9,"L2","visuell","audio/r1.wav",2,0,0.507377294
9,"L2","visuospatial","audio/r18.wav",3,1,1.042475876
9,"L2","visuospatial","audio/r19.wav",4,1,0.7747197
9,"L2","visuospatial","audio/r17.wav",5,1,0.708048322
9,"L2","kontroll","audio/r11.wav",6,1,0.672805923
9,"L2","visuospatial","audio/r21.wav",7,1,0.340333469
9,"L2","kontroll","audio/r9.wav",8,0,0.30705899
9,"L2","visuospatial","audio/r24.wav",9,0,0.423879537
9,"L2","kontroll","audio/r12.wav",10,1,0.973448299
9,"L2","visuell","audio/r2.wav",11,0,4.315674034
9,"L2","visuell","audio/r5.wav",12,0,2.445287699
9,"L2","visuell","audio/r6.wav",13,1,0.624311144
9,"L2","visuell","audio/r3.wav",14,1,3.664029381
9,"L2","visuell","audio/r7.wav",15,1,0.958385867
9,"L2","kontroll","audio/r14.wav",16,1,3.146473177
9,"L2","visuell","audio/r4.wav",17,1,1.509504062
9,"L2","kontroll","audio/r15.wav",18,1,0.808169897
9,"L2","visuospatial","audio/r20.wav",19,0,6.403421515
9,"L2","kontroll","audio/r16.wav",20,1,0.190152756
9,"L2","visuospatial","audio/r22.wav",21,1,5.150756795
9,"L2","kontroll","audio/r13.wav",22,1,5.934343758
9,"L2","kontroll","audio/r10.wav",23,1,1.342538825
9,"L2","visuell","audio/r8.wav",24,1,3.114368638
10,"L1","visuospatial","audio/n22.wav",1,1,3.296820137
10,"L1","visuell","audio/n16.wav",2,1,2.094728478
10,"L1","kontroll","audio/n7.wav",3,1,3.113082229
10,"L1","visuospatial","audio/n24.wav",4,1,2.144194303
10,"L1","kontroll","audio/n17.wav",5,1,3.163177612
10,"L1","kontroll","audio/n18.wav",6,0,5.819391647
10,"L1","visuospatial","audio/n1.wav",7,0,6.370823711
10,"L1","kontroll","audio/n8.wav",8,1,2.17784712
10,"L1","kontroll","audio/n6.wav",9,0,7.088379368
10,"L1","visuospatial","audio/n4.wav",10,1,5.551811871
10,"L1","visuospatial","audio/n21.wav",11,1,3.38026257
10,"L1","visuell","audio/n10.wav",12,1,2.745751873
