Subject;Lang.;Type;Item;Trial;Score;RT (gammal);RT
4;L2;kontroll;audio/r13.wav;2;1;1.622659781;1.622659781
4;L2;visuell;audio/r1.wav;3;1;1.841573513;1.841573513
4;L2;kontroll;audio/r14.wav;4;1;1.355957007;1.355957007
4;L2;visuell;audio/r6.wav;5;1;1.92369379;1.92369379
4;L2;visuospatial;audio/r24.wav;6;1;3.474783278;3.474783278
4;L2;visuospatial;audio/r18.wav;7;1;2.025154557;2.025154557
4;L2;visuospatial;audio/r23.wav;8;1;2.592139998;2.592139998
4;L2;visuospatial;audio/r17.wav;9;1;3.075634208;3.075634208
4;L2;visuospatial;audio/r19.wav;10;1;2.207084145;2.207084145
4;L2;kontroll;audio/r11.wav;11;1;2.107574024;2.107574024
4;L2;kontroll;audio/r10.wav;12;1;3.175600016;3.175600016
4;L2;kontroll;audio/r12.wav;13;1;1.875217433;1.875217433
4;L2;visuospatial;audio/r20.wav;14;1;1.806993889;1.806993889
4;L2;kontroll;audio/r16.wav;15;1;3.326321318;3.326321318
4;L2;visuospatial;audio/r21.wav;16;1;1.790181765;1.790181765
4;L2;visuell;audio/r7.wav;17;1;1.006432472;1.006432472
4;L2;visuell;audio/r4.wav;18;1;2.307694056;2.307694056
4;L2;visuell;audio/r8.wav;19;1;1.322171653;1.322171653
4;L2;kontroll;audio/r15.wav;20;1;1.188667348;1.188667348
4;L2;kontroll;audio/r9.wav;21;1;3.410027143;3.410027143
4;L2;visuell;audio/r5.wav;22;1;1.823387349;1.823387349
4;L2;visuell;audio/r2.wav;23;1;1.372832535;1.372832535
4;L2;visuospatial;audio/r22.wav;24;1;1.756621293;1.756621293
5;L1;visuospatial;audio/n21.wav;1;1;3.49339316;3.49339316
5;L1;kontroll;audio/n17.wav;2;1;0.405312465;0.405312465
5;L1;kontroll;audio/n6.wav;3;1;0.471122125;0.471122125
5;L1;visuell;audio/n14.wav;4;1;1.607302999;1.607302999
5;L1;visuospatial;audio/n2.wav;5;1;6.300399808;6.300399808
5;L1;visuell;audio/n15.wav;6;0;4.580334111;4.580334111
5;L1;kontroll;audio/n7.wav;7;1;3.541661623;3.541661623
5;L1;kontroll;audio/n8.wav;8;1;0.187803816;0.187803816
5;L1;visuospatial;audio/n22.wav;9;1;0.603329311;0.603329311
5;L1;visuospatial;audio/n1.wav;10;1;1.020896535;1.020896535
5;L1;visuospatial;audio/n3.wav;11;1;0.470892311;0.470892311
5;L1;visuell;audio/n16.wav;12;1;6.902483824;6.902483824
5;L1;visuospatial;audio/n23.wav;13;1;1.155350833;1.155350833
5;L1;visuospatial;audio/n24.wav;14;1;0.56986255;0.56986255
5;L1;visuell;audio/n12.wav;15;1;5.8659353;5.8659353
5;L1;visuospatial;audio/n4.wav;16;1;0.30260131;0.30260131
5;L1;kontroll;audio/n18.wav;17;1;0.236050323;0.236050323
5;L1;kontroll;audio/n19.wav;18;1;0.184600719;0.184600719
5;L1;kontroll;audio/n20.wav;19;1;0.571190822;0.571190822
5;L1;visuell;audio/n10.wav;20;0;4.795695622;4.795695622
5;L1;kontroll;audio/n5.wav;21;1;1.357329031;1.357329031
5;L1;visuell;audio/n9.wav;22;1;3.594645912;3.594645912
5;L1;visuell;audio/n11.wav;23;0;0.288143857;0.288143857
5;L1;visuell;audio/n13.wav;24;1;7.251568025;7.251568025
5;L2;visuospatial;audio/r24.wav;1;1;3.427481476;3.427481476
5;L2;kontroll;audio/r14.wav;2;1;6.514633494;6.514633494
5;L2;kontroll;audio/r16.wav;3;1;2.207330589;2.207330589
5;L2;visuospatial;audio/r17.wav;4;1;2.891777016;2.891777016
5;L2;kontroll;audio/r9.wav;5;1;0.771896733;0.771896733
5;L2;visuell;audio/r6.wav;6;1;1.406552709;1.406552709
5;L2;visuell;audio/r5.wav;7;1;1.106261035;1.106261035
5;L2;visuospatial;audio/r18.wav;8;0;6.916954135;6.916954135
5;L2;kontroll;audio/r12.wav;9;0;5.215587327;5.215587327
5;L2;visuospatial;audio/r19.wav;10;1;1.872688348;1.872688348
5;L2;visuell;audio/r7.wav;11;1;0.269577018;0.269577018
5;L2;visuell;audio/r2.wav;12;1;1.123296564;1.123296564
5;L2;visuospatial;audio/r20.wav;13;1;1.425710109;1.425710109
5;L2;kontroll;audio/r13.wav;14;1;0.554944966;0.554944966
5;L2;visuell;audio/r8.wav;15;1;1.840083048;1.840083048
5;L2;visuell;audio/r4.wav;16;0;1.188805186;1.188805186
5;L2;kontroll;audio/r10.wav;17;1;2.207940792;2.207940792
5;L2;kontroll;audio/r15.wav;18;1;0.305083085;0.305083085
5;L2;kontroll;audio/r11.wav;19;1;0.270256771;0.270256771
5;L2;visuospatial;audio/r21.wav;20;1;0.220702165;0.220702165
5;L2;visuospatial;audio/r22.wav;21;1;3.244574509;3.244574509
5;L2;visuell;audio/r1.wav;22;1;10.97761802;10.97761802
5;L2;visuospatial;audio/r23.wav;23;1;4.313447082;4.313447082
5;L2;visuell;audio/r3.wav;24;1;0.487507993;0.487507993
6;L1;visuell;audio/n9.wav;1;1;2.24091291;2.24091291
6;L1;visuospatial;audio/n3.wav;2;1;0.970760729;0.970760729
6;L1;visuospatial;audio/n4.wav;3;1;3.124044965;3.124044965
6;L1;kontroll;audio/n5.wav;4;1;0.988580081;0.988580081
6;L1;visuell;audio/n16.wav;5;1;2.258952773;2.258952773
6;L1;visuospatial;audio/n2.wav;6;0;0.820706611;0.820706611
6;L1;visuospatial;audio/n23.wav;7;1;2.692134785;2.692134785
6;L1;visuell;audio/n11.wav;8;1;1.154773991;1.154773991
6;L1;visuell;audio/n13.wav;9;1;1.072630859;1.072630859
6;L1;visuospatial;audio/n24.wav;10;1;0.602191415;0.602191415
6;L1;kontroll;audio/n7.wav;11;0;1.706426429;1.706426429
6;L1;visuell;audio/n12.wav;12;1;0.921104527;0.921104527
6;L1;kontroll;audio/n20.wav;13;0;2.290460094;2.290460094
6;L1;kontroll;audio/n6.wav;14;0;6.15232843;6.15232843
6;L1;visuell;audio/n14.wav;15;1;0.539113057;0.539113057
6;L1;visuospatial;audio/n21.wav;16;1;0.486768087;0.486768087
6;L1;visuospatial;audio/n22.wav;17;1;0.351406179;0.351406179
6;L1;visuell;audio/n10.wav;18;1;0.404391192;0.404391192
6;L1;visuell;audio/n15.wav;19;1;0.25370338;0.25370338
6;L1;kontroll;audio/n19.wav;20;1;0.320056625;0.320056625
6;L1;kontroll;audio/n8.wav;21;1;0.406470847;0.406470847
6;L1;kontroll;audio/n18.wav;22;0;0.252480978;0.252480978
